Sector,Company Name,About the company,Founders,Founded in,Location,Other Investors
"B2B/Manufacturing, DeepTech",Scimplify,Speciality chemicals sourcing platform,"Salil Srivastava, Sachin Santhosh",2023,Bengaluru,"Accel, Bertelsmann, 3one4, Omnivore, UMI"
"B2B/Manufacturing, DeepTech",Whizzo,Technical textiles sourcing platform,Shrestha Kukreja,2024,Bengaluru,"Lightspeed, Fundamentum, LB Investment"
"B2B/Manufacturing, DeepTech",Axirium Aerospace,Aerospace manufacturing & engineering services,"Nishant Khurana, Neeraj Agarwal, and Piyush Agarwal",2025,Hyderabad,"Shastra, Ashish Gupta (Helion)"
Consumer Economy,Furnishka,Value retail chain for furniture,"Ganesh Pawar, Mahesh Majali",2023,Bengaluru,"India Quotient, Sparrow Capital, Logx Venture Partners"
Consumer Economy,First Coffee,Grab & go coffee chain,"Shiv Dhawan, Sohrab Sitaram",2023,New Delhi,"AngelList, Ashish Gupta (Helion), Ritesh Malik"
Consumer Economy,Elevn,Women first dating & experiences app,"Raghav Chaturvedi, Ramya Chaturvedi, Karan Johar",2023,Mumbai,Whiteboard Capital
Financial Services,Prosparity,EV financing solutions,"Saurabh Khodke,Anirudh Dhakar,Hakam Singh Dhakar,Jitendra Sharma",2023,Mumbai,"Sparrow Capital, All In Capital, DeVC, Huddle Ventures, AngelList"
Financial Services,Crest,Fractional Family Office for new age wealth,"Girish Singhi, Zuhaib Khan",2025,Dubai,"Sparrow Capital, Shastra, DeVC"
Financial Services,KreditPe,Secured credit cards for new to credit customers,Prashant Kumar,2023,Bengaluru,Xeed Ventures
AI,Ramp,Integrated corporate card and spend management platform,"Eric Glyman, Karim Atiyeh,Gene Lee",2019,USA,
Accelerator,Telora,-1 to 0 Accelerator for young startup founders,"Eliam Medina, Angie Diaz Medina, Kris Borer",2022,USA,
AI,Gushworks,AI growth agents for digital SMBs,"Nayhrit Bhattacharya, Adithya Venkatesh",2023,USA/ Bengaluru,"SIG, Lightspeed, B Capital, Seaborne Capital, Sparrow Capital, 2point2 Capital"
AI,Budy,AI co-pilot for Senior Living Sales teams,Samay Kohli,2021,USA,"RTP, Neon Fund"
AI,Flywheel,Meta marketplace for buying cloud software,Ankur Srivastava,2024,USA,"Storm Ventures, FEBE Ventures, Foster Ventures"
AI,Defendermate,AI powered security teammates,Ashish Popli,2024,USA,"Munich RE, Tekton, FEBE Ventures, BAG Ventures"
AI,Reinforce Labs,AI enabled product vulnerability testing,"Anish Das Sarma, Lukas Tencer",2025,USA,Peak XV
AI,Hotdata AI,Real time Query Engine for AI Agents,"Divya Ranganathan,Eddie A Tejeda, Zac Farrell",2025,USA,Array VC
AI,Workspot,AI agents for enterprise workflow automation,"Subash Gopalkrishnan, Amitabh Sinha, Jimmy Chang",2025,USA,Accel
AI,SiriusAI,AI-first consulting and solutions company focused on financial services,"Sanjay Ojha, Narendra Mulani, Abhinav Vij, Tommy Marshal",2025,USA,Insight AI Studios
"DeepTech, B2B/Manufacturing",IBC,Li-ion cell gigafactory,"Priyadarshi Panda, Raj Shekhar Singh",2022,USA,JAS Tech
"DeepTech, B2B/Manufacturing",Minimines,EV battery recycling,"Anupam Kumar, Arvind Bhardwaj",2020,Bengaluru,"Shastra, UNIDO,Micelio, Angel List, Matrix Partners India"
DeepTech,Tractrix,Optical surveillance solutions for Defence,"Ashutosh Richhariya, Palash Patodi",2019,Hyderabad,Shastra
